#,Name,Disclosure Date,Rank,Check,Description
"0","evasion/windows/applocker_evasion_install_util","","normal","No","Applocker Evasion - .NET Framework Installation Utility"
"1","evasion/windows/applocker_evasion_msbuild","","normal","No","Applocker Evasion - MSBuild"
"2","evasion/windows/applocker_evasion_presentationhost","","normal","No","Applocker Evasion - Windows Presentation Foundation Host"
"3","evasion/windows/applocker_evasion_regasm_regsvcs","","normal","No","Applocker Evasion - Microsoft .NET Assembly Registration Utility"
"4","evasion/windows/applocker_evasion_workflow_compiler","","normal","No","Applocker Evasion - Microsoft Workflow Compiler"
"5","evasion/windows/process_herpaderping","","normal","No","Process Herpaderping evasion technique"
"6","evasion/windows/syscall_inject","","normal","No","Direct windows syscall evasion technique"
"7","evasion/windows/windows_defender_exe","","normal","No","Microsoft Windows Defender Evasive Executable"
"8","evasion/windows/windows_defender_js_hta","","normal","No","Microsoft Windows Defender Evasive JS.Net and HTA"
