#,Name,Disclosure Date,Rank,Check,Description
"0","post/networking/gather/enum_cisco","","normal","No","Cisco Gather Device General Information"
"1","post/multi/recon/local_exploit_suggester","","normal","No","Multi Recon Local Exploit Suggester"
