#,Name,Disclosure Date,Rank,Check,Description
"130","post/windows/gather/credentials/windows_autologin","","normal","No","Windows Gather AutoLogin User Credential Extractor"
"131","post/windows/gather/credentials/avira_password","","normal","No","Windows Gather Avira Password Extraction"
"132","post/windows/gather/bitcoin_jacker","","normal","No","Windows Gather Bitcoin Wallet"
"133","post/windows/gather/credentials/bulletproof_ftp","","normal","No","Windows Gather BulletProof FTP Client Saved Password Extraction"
"134","post/windows/gather/credentials/coreftp","","normal","No","Windows Gather CoreFTP Saved Password Extraction"
"135","post/windows/gather/cachedump","","normal","No","Windows Gather Credential Cache Dump"
"136","post/windows/gather/credentials/credential_collector","","normal","No","Windows Gather Credential Collector"
"137","post/windows/gather/credentials/enum_cred_store","","normal","No","Windows Gather Credential Store Enumeration and Decryption Module"
"138","post/windows/gather/credentials/imvu","","normal","No","Windows Gather Credentials IMVU Game Client"
"139","post/windows/gather/credentials/enum_laps","","normal","No","Windows Gather Credentials Local Administrator Password Solution"
"140","post/windows/gather/dnscache_dump","","normal","No","Windows Gather DNS Cache"
"141","post/windows/gather/enum_db","","normal","No","Windows Gather Database Instance Enumeration"
"142","post/windows/gather/forensics/recovery_files","","normal","No","Windows Gather Deleted Files Enumeration and Recovering"
"143","post/windows/gather/enum_dirperms","","normal","No","Windows Gather Directory Permissions Enumeration"
"144","post/windows/gather/enum_domains","","normal","No","Windows Gather Domain Enumeration"
"145","post/windows/gather/dumplinks","","normal","No","Windows Gather Dump Recent Files lnk Info"
"146","post/windows/gather/credentials/dyndns","","normal","No","Windows Gather DynDNS Client Password Extractor"
"147","post/windows/gather/credentials/dynazip_log","2001-03-27","normal","No","Windows Gather DynaZIP Saved Password Extraction"
"148","post/windows/gather/enum_emet","","normal","No","Windows Gather EMET Protected Paths"
"149","post/windows/gather/enum_muicache","","normal","No","Windows Gather Enum User MUICache"
"150","post/windows/gather/enum_domain_users","","normal","No","Windows Gather Enumerate Active Domain Users"
"151","post/windows/gather/enum_computers","","normal","No","Windows Gather Enumerate Computers"
"152","post/windows/gather/enum_domain","","normal","No","Windows Gather Enumerate Domain"
"153","post/windows/gather/enum_tokens","","normal","No","Windows Gather Enumerate Domain Admin Tokens (Token Hunter)"
"154","post/windows/gather/enum_domain_group_users","","normal","No","Windows Gather Enumerate Domain Group"
"155","post/windows/gather/enum_domain_tokens","","normal","No","Windows Gather Enumerate Domain Tokens"
"156","post/windows/gather/exchange","","normal","No","Windows Gather Exchange Server Mailboxes"
"157","post/windows/gather/credentials/ftpx","","normal","No","Windows Gather FTP Explorer (FTPX) Credential Extraction"
"158","post/windows/gather/credentials/ftpnavigator","","normal","No","Windows Gather FTP Navigator Saved Password Extraction"
"159","post/windows/gather/enum_artifacts","","normal","No","Windows Gather File and Registry Artifacts Enumeration"
"160","post/windows/gather/credentials/filezilla_server","","normal","No","Windows Gather FileZilla FTP Server Credential Collection"
"161","post/windows/gather/credentials/flashfxp","","normal","No","Windows Gather FlashFXP Saved Password Extraction"
"162","post/windows/gather/forensics/imager","","normal","No","Windows Gather Forensic Imaging"
"163","post/windows/gather/forensics/duqu_check","","normal","No","Windows Gather Forensics Duqu Registry Check"
"164","post/windows/gather/enum_files","","normal","No","Windows Gather Generic File Collection"
"165","post/windows/gather/enum_chrome","","normal","No","Windows Gather Google Chrome User Data Enumeration"
"166","post/windows/gather/credentials/enum_picasa_pwds","","normal","No","Windows Gather Google Picasa Password Extractor"
"167","post/windows/gather/credentials/gpp","","normal","No","Windows Gather Group Policy Preference Saved Passwords"
"168","post/windows/gather/enum_devices","","normal","No","Windows Gather Hardware Enumeration"
"169","post/windows/gather/credentials/heidisql","","normal","No","Windows Gather HeidiSQL Saved Password Extraction"
"170","post/windows/gather/credentials/imail","","normal","No","Windows Gather IPSwitch iMail User Data Enumeration"
"171","post/windows/gather/enum_applications","","normal","No","Windows Gather Installed Application Enumeration"
"172","post/windows/gather/enum_chocolatey_applications","","normal","No","Windows Gather Installed Application Within Chocolatey Enumeration"
"173","post/windows/gather/credentials/idm","","normal","No","Windows Gather Internet Download Manager (IDM) Password Extractor"
"174","post/windows/gather/enum_ie","","normal","No","Windows Gather Internet Explorer User Data Enumeration"
"175","post/windows/gather/local_admin_search_enum","","normal","No","Windows Gather Local Admin Search"
"176","post/windows/gather/forensics/nbd_server","","normal","No","Windows Gather Local NBD Server"
"177","post/windows/gather/credentials/mssql_local_hashdump","","normal","No","Windows Gather Local SQL Server Hash Dump"
"178","post/windows/gather/hashdump","","normal","No","Windows Gather Local User Account Password Hashes (Registry)"
"179","post/windows/gather/resolve_sid","","normal","No","Windows Gather Local User Account SID Lookup"
"180","post/windows/gather/smart_hashdump","","normal","No","Windows Gather Local and Domain Controller Account Password Hashes"
"181","post/windows/gather/enum_logged_on_users","","normal","No","Windows Gather Logged On User Enumeration (Registry)"
"182","post/windows/gather/credentials/mdaemon_cred_collector","","excellent","No","Windows Gather MDaemonEmailServer Credential Cracking"
"183","post/windows/gather/credentials/epo_sql","","normal","No","Windows Gather McAfee ePO 4.6 Config SQL Credentials"
"184","post/windows/gather/credentials/meebo","","normal","No","Windows Gather Meebo Password Extractor"
"185","post/windows/gather/enum_trusted_locations","","normal","No","Windows Gather Microsoft Office Trusted Locations"
"186","post/windows/gather/word_unc_injector","","normal","No","Windows Gather Microsoft Office Word UNC Path Injector"
"187","post/windows/gather/credentials/outlook","","normal","No","Windows Gather Microsoft Outlook Saved Password Extraction"
"188","post/windows/gather/credentials/moba_xterm","","normal","No","Windows Gather MobaXterm Passwords"
"189","post/windows/gather/credentials/navicat","","normal","No","Windows Gather Navicat Passwords"
"190","post/windows/gather/credentials/nimbuzz","","normal","No","Windows Gather Nimbuzz Instant Messenger Password Extractor"
"191","post/windows/gather/outlook","","normal","No","Windows Gather Outlook Email Messages"
"192","post/windows/gather/psreadline_history","","normal","No","Windows Gather PSReadline History"
"193","post/windows/gather/forensics/enum_drives","","normal","No","Windows Gather Physical Drives and Logical Volumes"
"194","post/windows/gather/enum_powershell_env","","normal","No","Windows Gather PowerShell Environment Setting Enumeration"
"195","post/windows/gather/enum_prefetch","","normal","No","Windows Gather Prefetch File Information"
"196","post/windows/gather/win_privs","","normal","No","Windows Gather Privileges Enumeration"
"197","post/windows/gather/memory_grep","","normal","No","Windows Gather Process Memory Grep"
"198","post/windows/gather/enum_ms_product_keys","","normal","No","Windows Gather Product Key"
"199","post/windows/gather/enum_proxy","","normal","No","Windows Gather Proxy Setting"
"200","post/windows/gather/credentials/purevpn_cred_collector","","normal","No","Windows Gather PureVPN Client Credential Collector"
"201","post/windows/gather/credentials/razer_synapse","","normal","No","Windows Gather Razer Synapse Password Extraction"
"202","post/windows/gather/credentials/razorsql","","normal","No","Windows Gather RazorSQL Credentials"
"203","post/windows/gather/credentials/rdc_manager_creds","","normal","No","Windows Gather Remote Desktop Connection Manager Saved Password Extraction"
"204","post/windows/gather/wmic_command","","normal","No","Windows Gather Run WMIC Commands"
"205","post/windows/gather/enum_shares","","normal","No","Windows Gather SMB Share Enumeration via Registry"
"206","post/windows/gather/enum_snmp","","normal","No","Windows Gather SNMP Settings"
"207","post/windows/gather/screen_spy","","normal","No","Windows Gather Screen Spy"
"208","post/windows/gather/enum_services","","normal","No","Windows Gather Service Info Enumeration"
"209","post/windows/gather/credentials/skype","","normal","No","Windows Gather Skype Saved Password Hash Extraction"
"210","post/windows/gather/forensics/browser_history","","normal","No","Windows Gather Skype, Firefox, and Chrome Artifacts"
"211","post/windows/gather/credentials/smartftp","","normal","No","Windows Gather SmartFTP Saved Password Extraction"
"212","post/windows/gather/credentials/smartermail","","normal","No","Windows Gather SmarterMail Password Extraction"
"213","post/windows/gather/credentials/steam","","normal","No","Windows Gather Steam Client Session Collector."
"214","post/windows/gather/tcpnetstat","","normal","No","Windows Gather TCP Netstat"
"215","post/windows/gather/credentials/teamviewer_passwords","","normal","No","Windows Gather TeamViewer Passwords"
"216","post/windows/gather/enum_termserv","","normal","No","Windows Gather Terminal Server Client Connection Information Dumper"
"217","post/windows/gather/credentials/tortoisesvn","","normal","No","Windows Gather TortoiseSVN Saved Password Extraction"
"218","post/windows/gather/credentials/total_commander","","normal","No","Windows Gather Total Commander Saved Password Extraction"
"219","post/windows/gather/credentials/trillian","","normal","No","Windows Gather Trillian Password Extractor"
"220","post/windows/gather/usb_history","","normal","No","Windows Gather USB Drive History"
"221","post/windows/gather/enum_unattend","","normal","No","Windows Gather Unattended Answer File Enumeration"
