#,Name,Disclosure Date,Rank,Check,Description
"0","post/networking/gather/enum_brocade","","normal","No","Brocade Gather Device General Information"
"1","post/multi/recon/local_exploit_suggester","","normal","No","Multi Recon Local Exploit Suggester"
