#,Name,Disclosure Date,Rank,Check,Description
"0","payload/generic/custom","","normal","No","Custom Payload"
"1","payload/generic/shell_bind_tcp","","normal","No","Generic Command Shell, Bind TCP Inline"
"2","payload/generic/shell_reverse_tcp","","normal","No","Generic Command Shell, Reverse TCP Inline"
"3","payload/generic/ssh/interact","","normal","No","Interact with Established SSH Connection"
